"","species_common","species_scientific","family","X"
"1","Redfin butterfly","Chaetodon lunulatus","Chaetodontidae",""
"2","Doublesaddle butterfly","Chaetodon ulietensis","Chaetodontidae",""
"3","Bennett's butterfly","Chaetodon bennetti","Chaetodontidae",""
"4","Klein butterfly","Chaetodon kleinii","Chaetodontidae",""
"5","Latticed butterfly","Chaetodon rafflesi","Chaetodontidae",""
"6","Longnose butterfly","Forcipiger longirostris","Chaetodontidae",""
"7","Ornate butterfly","Chaetodon ornatissimus","Chaetodontidae",""
"8","Pyramid butterfly","Heimtaurichthys polylepis","Chaetodontidae",""
"9","Spottail butterfly","Chaetodon ocellicaudus","Chaetodontidae",""
"10","Spotbanded butterfly","Chaetodon punctatofasciatus","Chaetodontidae",""
"11","Threadfin butterfly","Chaetodon auriga","Chaetodontidae",""
"12","Triangle butterfly","Chaetodon baronessa","Chaetodontidae",""
"13","Vagabond butterfly","Chaetodon vagabundus","Chaetodontidae",""
"14","Humphead banner","Heniochus varius","Chaetodontidae",""
"15","Singular banner","Heniochus singularis","Chaetodontidae",""
"16","Moorish idol","Zanclus cornutus","Chaetodontidae",""
"17","Ambon chromis","Chromis amboinensis","Pomacentridae",""
"18","Black chromis","Chromis atripectoralis","Pomacentridae","Q"
"19","Blackbar chromis","Chromis retrofasciata","Pomacentridae",""
"20","Darkfin chromis","Chromis atripes","Pomacentridae",""
"21","Scaly chromis","Chromis lepidolepis","Pomacentridae",""
"22","Ternate chromis","Chromis ternatensis","Pomacentridae",""
"23","Blueaxil chromis","Chromis caudalis","Pomacentridae",""
"24","Bluegreen chromis","Chromis viridis","Pomacentridae",""
"25","Weber's chromis","Chromis weberi","Pomacentridae",""
"26","Ambon damsel","Pomacentrus amboinensis","Pomacentridae",""
"27","Behn's damsel","Neoglyphidodon nigroris","Pomacentridae",""
"28","Blackvent damsel","Dischistodus melanotus","Pomacentridae",""
"29","Black damsel","Neoglyphidodon melas","Pomacentridae",""
"30","Charcoal damsel","Pomacentrus brachialis","Pomacentridae",""
"31","Dick's damsel","Plectroglyphidodon dickii","Pomacentridae",""
"32","Dusky damsel","Stegastes nigricans","Pomacentridae","Q"
"33","Golden damsel","Amblyglyphidodon aureus","Pomacentridae",""
"34","Molluca damsel","Pomacentrus moluccensis","Pomacentridae",""
"35","Paletail damsel","Pomacentrus trichrourus","Pomacentridae",""
"36","Staghorn damsel","Amblyglyphidodon curacao","Pomacentridae",""
"37","White damsel","Dischistodus perspicillatus","Pomacentridae",""
"38","Whitebelly damsel","Amblyglyphidodon leucogaster","Pomacentridae",""
"39","Reticulated dascyllus","Dascyllus reticulatus","Pomacentridae",""
"40","3-spot dascyllus","Dascyllus trimaculatus","Pomacentridae",""
"41","Yellow-tailed dascyllus","Dascyllus flavicaudus","Pomacentridae",""
"42","IndoPacific sergeant","Abudefduf vaigiensis","Pomacentridae",""
"43","Scissor-tail sergeant","Abudefduf sexfasciatus","Pomacentridae",""
"44","Purple anthias","Pseudanthias tuka","Serranidae",""
"45","Redcheeked anthias","Pseudanthias huchtii","Serranidae",""
"46","Coral hind","Cephalopholis miniata","Serranidae",""
"47","Brownmarbled grouper","Epinephelus fuscoguttata","Serranidae",""
"48","Flagtail grouper","Cephalopholis urodeta","Serranidae",""
"49","Honeycomb grouper","Epinephelus merra","Serranidae",""
"50","Red? Grouper","Cephalopholis sp.","Serranidae",""
"51","Slender grouper","Anyperodon leucogrammicus","Serranidae",""
"52","Freckled hawkfish","Paracirrhites forsterii","Cirrhitidae",""
"53","Scribbled filefish","Aluterus scriptus","Monacanthidae",""
"54","Lined bristletooth","Ctenochaetus striatus","Acanthuridae",""
"55","Brushtail tang","Zebrasoma scopas","Acanthuridae",""
"56","IndoPacific surgeon","Acanthurus guttatus","Acanthuridae","Q"
"57","Mimic surgeon","Acanthurus pyroferus","Acanthuridae",""
"58","Palelipped surgeon","Acanthurus leucochilus","Acanthuridae",""
"59","Palette surgeon","Paracanthurus hepatus","Acanthuridae",""
"60","Yellow tang","Zebrasoma velifer","Acanthuridae","Q"
"61","Bluespine unicorn","Naso unicornis","Acanthuridae",""
"62","Grey unicorn","Naso caesius","Acanthuridae",""
"63","Orspined unicorn","Naso lituratus","Acanthuridae",""
"64","Spotted unicorn","Naso brevirostris","Acanthuridae",""
"65","Vlamings unicorn","Naso vlamingii","Acanthuridae",""
"66","Whitemargin unicorn","Naso annulatus","Acanthuridae",""
"67","Halfmoon trigger","Sufflamen chrysopterum","Balistidae",""
"68","Yellowmargin? Trigger","Pseudobalistes flavimarginatus","Balistidae",""
"69","Orange-striped trigger","Balistapus undulatus","Balistidae",""
"70","Pinktail trigger","Melichthys vidua","Balistidae",""
"71","Scythe trigger","Sufflamen bursa","Balistidae",""
"72","Bicolor angel","Centropyge bicolor","Pomacanthidae",""
"73","Dusky angel","Centropyge multispinis","Pomacanthidae",""
"74","Midnight angel","Centropyge nox","Pomacanthidae",""
"75","Multibar angel","Paracentropyge multifasciata","Pomacanthidae",""
"76","Regal angel","Pygoplites diacanthus","Pomacanthidae",""
"77","Vermiculated angel","Chaetodontoplus mesoleucus","Pomacanthidae",""
"78","Yellowcheek tuskfish","Choerodon anchorago","Labridae",""
"79","Bicolor wrasse","Labroides bicolor","Labridae",""
"80","Celebes wrasse","Oxycheilinus celebicus","Labridae",""
"81","Checkerboard wrasse","Halichoeres hortulanus","Labridae",""
"82","Halfhalf wrasse","Hemigymnus melanopterus","Labridae",""
"83","Mesothorax wrasse","Bodianus mesothorax","Labridae",""
"84","Pinstripe wrasse","Pseudocheilinus evanidus","Labridae",""
"85","Redbarred wrasse","Pseudocheilinus ocellatus","Labridae","Q"
"86","Sixbar wrasse","Thalassoma hardwicke","Labridae",""
"87","Slingjaw wrasse","Epibulus insidiator","Labridae",""
"88","Tripletail wrasse","Cheilinus trilobatus","Labridae",""
"89","Twotone wrasse","Halichoeres prosopeion","Labridae",""
"90","Dianas hogfish","Bodianus diana","Labridae",""
"91","Bleeker's parrot","Chlorurus bleekeri","Labridae",""
"92","Briddled parrot","Scarus frenatus","Labridae",""
"93","Bullethead parrot","Chlorurus spilurus","Labridae",""
"94","Bumphead parrot","Bolbometopon muricatum","Labridae",""
"95","Festive parrot","Scarus festivus","Labridae",""
"96","Ind steephead parrot","Chlorurus frontalis","Labridae",""
"97","Longnose parrot","Hipposcarus longiceps","Labridae",""
