species,family,sl,tl
Acanthurus achilles,Acanthuridae,17.7,22.9
Acanthurus auranticavus,Acanthuridae,21.6,29.2
Acanthurus bariene,Acanthuridae,30.4,44.2
Acanthurus blochii,Acanthuridae,16.8,21.6
Acanthurus dussumieri,Acanthuridae,22.5,28.4
Acanthurus guttatus,Acanthuridae,16,20.3
Acanthurus japonicus,Acanthuridae,11.3,14
Acanthurus leucocheilus,Acanthuridae,30.2,39.9
Acanthurus leucocheilus,Acanthuridae,19.2,26
Acanthurus leucocheilus,Acanthuridae,19.2,29.2
Acanthurus leucosternon,Acanthuridae,5.5,7
Acanthurus leucosternon,Acanthuridae,12.3,14.8
Acanthurus lineatus,Acanthuridae,18.1,27.7
Acanthurus lineatus,Acanthuridae,16.4,23.1
Acanthurus nigricans,Acanthuridae,16.7,20.8
Acanthurus nigricauda,Acanthuridae,22,33.8
Acanthurus nigrofuscus,Acanthuridae,10.8,14.5
Acanthurus nigrofuscus,Acanthuridae,9,12
Acanthurus nigrofuscus,Acanthuridae,9.7,12.7
Acanthurus nigrofuscus,Acanthuridae,9.9,13.7
Acanthurus nigrofuscus,Acanthuridae,11.5,16
Acanthurus nigrofuscus,Acanthuridae,9,13
Acanthurus nigroris,Acanthuridae,14.9,19.3
Acanthurus nigroris,Acanthuridae,12.2,16.2
Acanthurus nubilus,Acanthuridae,18.9,25.4
Acanthurus olivaceus,Acanthuridae,20.1,27.5
Acanthurus olivaceus,Acanthuridae,13.2,17
Acanthurus olivaceus,Acanthuridae,5.5,7
Acanthurus polyzona,Acanthuridae,8.8,11
Acanthurus polyzona,Acanthuridae,6.5,8.4
Acanthurus pyroferus,Acanthuridae,17.2,24.9
Acanthurus pyroferus,Acanthuridae,7.5,9.9
Acanthurus pyroferus,Acanthuridae,13,17.5
Acanthurus tennentii,Acanthuridae,13.3,17.8
Acanthurus thompsoni,Acanthuridae,8.2,11.4
Acanthurus thompsoni,Acanthuridae,15.5,20.3
Acanthurus triostegus,Acanthuridae,11.7,14.2
Acanthurus triostegus,Acanthuridae,12.2,15
Acanthurus triostegus,Acanthuridae,17.7,21.3
Acanthurus xanthopterus,Acanthuridae,40,53.3
Acanthurus xanthopterus,Acanthuridae,13.6,18
Acanthurus xanthopterus,Acanthuridae,40,54.6
Ctenochaetus binotatus,Acanthuridae,3.5,4.8
Ctenochaetus binotatus,Acanthuridae,6.4,8.6
Ctenochaetus binotatus,Acanthuridae,10.1,15
Ctenochaetus cyanocheilus,Acanthuridae,3.6,5.1
Ctenochaetus flavicauda,Acanthuridae,3.7,5.1
Ctenochaetus flavicauda,Acanthuridae,9.2,12.4
Ctenochaetus flavicauda,Acanthuridae,9.2,13.2
Ctenochaetus hawaiiensis,Acanthuridae,21.6,26.7
Ctenochaetus hawaiiensis,Acanthuridae,4.3,5.3
Ctenochaetus hawaiiensis,Acanthuridae,4.6,6.1
Ctenochaetus striatus,Acanthuridae,9.4,12.7
Ctenochaetus striatus,Acanthuridae,12.1,16.4
Ctenochaetus strigosus,Acanthuridae,8.4,10.7
Ctenochaetus strigosus,Acanthuridae,11.3,14.9
Ctenochaetus strigosus,Acanthuridae,10.2,14
Ctenochaetus tominiensis,Acanthuridae,8.5,11.9
Naso annulatus,Acanthuridae,20.4,23.6
Naso annulatus,Acanthuridae,20.8,23.7
Naso annulatus,Acanthuridae,16.8,19.8
Naso brachycentron,Acanthuridae,42.2,53.8
Naso brevirostris,Acanthuridae,6.9,8.1
Naso brevirostris,Acanthuridae,32.2,40.1
Naso brevirostris,Acanthuridae,30.3,38.4
Naso caesius,Acanthuridae,35.6,41.7
Naso elegans,Acanthuridae,17.4,22.4
Naso fageni,Acanthuridae,47,NA
