species_common,cleaner_code,client_size
Redfin butterfly,4,15
Bennett's butterfly,1,18
Doublesaddle butterfly,2,15
Klein butterfly,4,14
Latticed butterfly,2,15
Longnose butterfly,4,22
Ornate butterfly,4,20
Pyramid butterfly,2,18
Spotbanded butterfly,1,12
Spottail butterfly,2,14
Threadfin butterfly,5,23
Triangle butterfly,1,15
Vagabond butterfly,1,23
Humphead banner,7,19
Singular banner,1,25
Moorish idol,4,16
Ambon chromis,4,8
Black chromis,4,15
Blackbar chromis,1,5
Darkfin chromis,1,7
Scaly chromis,1,8
Ternate chromis,4,10
Blueaxil chromis,1,10
Bluegreen chromis,7,9
Weber's chromis,1,12
Ambon damsel,1,10
Behn's damsel,4,13
Blackvent damsel,4,16
Black damsel,1,16
Charcoal damsel,7,10
Dick's damsel,1,11
Dusky damsel,4,13
Golden damsel,4,7
Molluca damsel,1,9
Paletail damsel,1,11
Staghorn damsel,7,12
White damsel,1,20
Whitebelly damsel,7,13
Reticulated dascyllus,4,8
3-spot dascyllus,7,14
Yellow-tailed dascyllus,1,12
IndoPacific sergeant,2,20
Scissor-tail sergeant,4,17
Purple anthias,7,12
Redcheeked anthias,4,12
Coral hind,1,41
Brownmarbled grouper,3,90
Flagtail grouper,7,27
Honeycomb grouper,1,31
Marbled grouper,3,75
Red? Grouper,1,22
Slender grouper,4,52
Freckled hawkfish,1,22.5
Scribbled filefish,1,50
Lined bristletooth,7,26
Brushtail tang,7,20
IndoPacific surgeon,2,35
Mimic surgeon,5,25
Palelipped surgeon,1,40
Palette surgeon,1,31
Yellow tang,1,20
Bluespine unicorn,1,50
Grey unicorn,1,30
OS unicorn,2,30
Spotted unicorn,1,50
Vlamings unicorn,7,50
Whitemargin unicorn,2,50
Halfmoon trigger,1,30
Pinktail trigger,2,35
Yellowmargin? Trigger,1,60
Orange-striped trigger,4,30
Scythe trigger,1,24
Bicolor angel,1,15
Dusky angel,1,10
Midnight angel,1,9
Multibar angel,1,11
Regal angel,5,25
Vermiculated angel,2,18
Yellowcheek tuskfish,1,38
Bicolor wrasse,1,14
Celebes wrasse,7,24
Checkerboard wrasse,1,27
Halfhalf wrasse,1,35
Mesothorax wrasse,1,19
Pinstripe wrasse,4,12
Redbarred wrasse,2,38
Sixbar wrasse,1,20
Slingjaw wrasse,4,35
Tripletail wrasse,1,45
Twotone wrasse,1,13
Dianas hogfish,5,25
Bleeker's parrot,7,49
Briddled parrot,2,47
Bullethead parrot,7,40
Bumphead parrot,3,130
Festive parrot,2,43
Ind steephead parrot,2,70
Longnose parrot,4,60
Pac steephead parrot,6,70
Palenose parrot,2,30
Pygmy parrot?,4,30
Russell's parrot,3,51
Yellowfin parrot,7,30
Yellowtail parrot,2,31
Redtail parrot,7,30
Tail-barred parrot,4,70
Turquoise-cap parrot,4,30
Swarthy parrot,7,35
Pearly spinecheek,1,28
Sawjaw spinecheek,4,19
Twoline spinecheek,4,23
Dashdot goat,5,30
Manybar goat,7,30
Yellowstripe goat,7,43
Giant dottyback,1,20
Royal dottyback,1,7
Slendid dottyback,1,13
Bigeye emperor,4,20
Longface emperor,3,100
Longfin emperor,6,50
Smalltooth emperor,1,50
Trumpet,4,80
Black&white snapper,3,55
Flametail snapper,1,40
Twospot snapper,5,20
Blackspot snapper,5,35
Brick soldier,2,25
Red soldier,7,27
Bloodspot squirrel,4,26
Clearfin squirrel,2,22
Fineline squirrel,1,20
Golden squirrel,4,25
Longjaw squirrel,3,45
Tailspot squirrel,6,25
Threespot squirrel,4,17.3
Yellowfin squirrel,1,30
Dusky sweetlips,2,60
Harlequin sweetlips,1,55
Lessons sweetlips,5,48
Oriental sweetlips,1,50
Lunar fusilier,4,30
Bluestreak fusilier,7,25
Goldband fusilier,4,18
Ruddy fusilier,1,17
Threeline fusilier,1,15
Yellowback fusilier,3,31
Yellowstripe fusilier,1,25
Dusky rabbit,4,40
Masked rabbit,2,38
Smalltooth jobfish,1,40
Fiveline cardinal,3,12
Ochre-striped cardinal,1,12
