site,species,depth,number
pinnacle,L. dimidiatus,15.7,1
pinnacle,L. dimidiatus,15.6,1
pinnacle,L. dimidiatus,15.5,1
pinnacle,L. dimidiatus,14.9,1
pinnacle,L. dimidiatus,15.2,1
pinnacle,L. dimidiatus,14.7,1
pinnacle,L. dimidiatus,15.4,1
pinnacle,L. pectoralis,16,1
pinnacle,L. dimidiatus,15.6,1
pinnacle,L. dimidiatus,15.4,1
pinnacle,L. dimidiatus,15.5,1
pinnacle,L. dimidiatus,15.6,1
pinnacle,L. pectoralis,15.9,1
pinnacle,L. dimidiatus,15.1,1
pinnacle,L. pectoralis,15.5,1
pinnacle,L. dimidiatus,15.8,1
pinnacle,L. dimidiatus,15.4,1
pinnacle,L. dimidiatus,16,1
pinnacle,L. dimidiatus,15.3,1
pinnacle,L. pectoralis,15.1,1
pinnacle,L. dimidiatus,15,1
pinnacle,L. pectoralis,14.6,1
pinnacle,L. dimidiatus,16.1,1
pinnacle,L. dimidiatus,15.7,1
pinnacle,L. dimidiatus,15.3,1
pinnacle,L. pectoralis,15.4,1
pinnacle,L. dimidiatus,15.7,1
pinnacle,L. dimidiatus,16.1,1
pinnacle,L. dimidiatus,15,1
pinnacle,L. dimidiatus,14.7,1
pinnacle,L. dimidiatus,15.2,1
pinnacle,L. dimidiatus,15.7,1
pinnacle,L. dimidiatus,15.8,1
pinnacle,L. pectoralis,12,1
pinnacle,L. pectoralis,12,1
pinnacle,L. bicolor,13,1
pinnacle,L. dimidiatus,12,1
pinnacle,L. dimidiatus,14,1
pinnacle,L. dimidiatus,14,1
pinnacle,L. bicolor,14,1
pinnacle,L. dimidiatus,14,1
pinnacle,L. pectoralis,13,1
pinnacle,L. dimidiatus,14,1
pinnacle,L. pectoralis,14,1
pinnacle,L. dimidiatus,14,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,14,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,14,1
pinnacle,L. dimidiatus,14.5,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,13.5,1
pinnacle,L. dimidiatus,12,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,14,1
pinnacle,L. bicolor,14,1
pinnacle,L. pectoralis,12,1
pinnacle,L. pectoralis,11,1
pinnacle,L. pectoralis,11,1
pinnacle,L. dimidiatus,11,1
pinnacle,L. dimidiatus,11,1
pinnacle,L. dimidiatus,11,1
pinnacle,L. dimidiatus,13,1
pinnacle,L. dimidiatus,11,1
pinnacle,L. dimidiatus,11,1
pinnacle,L. dimidiatus,10,1
pinnacle,L. dimidiatus,10,1
pinnacle,L. bicolor,11,1
pinnacle,L. dimidiatus,11,1
pinnacle,L. dimidiatus,11,1
pinnacle,L. pectoralis,11,1
pinnacle,L. dimidiatus,10.9,1
pinnacle,L. dimidiatus,9,1
pinnacle,L. bicolor,11,1
pinnacle,L. dimidiatus,11,1
pinnacle,L. dimidiatus,9,1
pinnacle,L. dimidiatus,8.5,1
pinnacle,L. bicolor,9.7,1
pinnacle,L. pectoralis,9.5,1
pinnacle,L. pectoralis,9.5,1
pinnacle,L. pectoralis,10,1
pinnacle,L. dimidiatus,9.5,1
pinnacle,L. dimidiatus,10,1
pinnacle,L. dimidiatus,10,1
pinnacle,L. dimidiatus,9.5,1
