Day,Time,Depth,Depthcat,Transect
1,1,17,3,PT1
1,1,15.5,3,PT2
1,1,10,2,PT3
1,1,10,2,PT4
1,1,5,1,PT5
1,1,5,1,PT6
2,2,17,3,PT7
2,2,17,3,PT8
2,2,12,2,PT9
2,2,10,2,PT10
2,2,5,1,PT11
2,2,5,1,PT12
3,3,17.3,3,PT13
3,3,17,3,PT14
3,3,10,2,PT15
3,3,8,2,PT16
3,3,5,1,PT17
3,3,5,1,PT18
4,1,16,3,PT19
4,1,16,3,PT20
4,1,12,2,PT21
4,1,12,2,PT22
4,1,6,1,PT23
4,1,6,1,PT24
5,2,17,3,PT25
5,2,17,3,PT26
5,2,10,2,PT27
5,2,10,2,PT28
5,2,5,1,PT29
5,2,5,1,PT30
4,3,16,3,PT31
4,3,16,3,PT32
4,3,12,2,PT33
4,3,12,2,PT34
4,3,6,1,PT35
4,3,6,1,PT36
