station,species,age,no_fish,coral,zoospong,rock,rubble,sand,live,dead,terrsize,depth
Tag1,1.00,1.00,2.00,0.75,0.00,0.25,0.00,0.00,0.75,0.25,4.00,17.50
Tag19,1.00,1.00,1.00,0.00,0.20,0.00,0.80,0.00,0.20,0.80,2.50,16.00
Tag5a,1.00,2.00,1.00,0.30,0.10,0.50,0.00,0.10,0.40,0.60,0.75,11.00
Tag3,1.00,1.00,1.00,0.15,0.50,0.00,0.35,0.00,0.65,0.35,4.68,12.80
Tag5b,1.00,2.00,1.00,0.25,0.25,0.35,0.00,0.15,0.50,0.50,2.16,11.00
Tag 5c,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,6.10,11.00
Tag6,1.00,2.00,3.00,0.80,0.00,0.00,0.00,0.20,0.80,0.20,2.04,10.00
Tag7,1.00,1.00,2.00,0.00,0.50,0.00,0.50,0.00,0.50,0.50,4.93,8.50
Tag2,1.00,1.00,3.00,0.30,0.00,0.20,0.00,0.50,0.30,0.70,3.24,7.40
Tag4,1.00,1.00,2.00,0.30,0.20,0.00,0.00,0.50,0.50,0.50,7.30,7.50
Tag22,1.00,2.00,1.00,0.75,0.00,0.25,0.00,0.00,0.75,0.25,0.90,5.30
Bottle12,1.00,1.00,1.00,0.40,0.00,0.60,0.00,0.00,0.40,0.60,1.75,2.50
Bottle8,1.00,2.00,1.00,0.20,0.00,0.60,0.00,0.20,0.20,0.80,1.55,1.70
Bottle6,1.00,1.00,1.00,0.15,0.00,0.75,0.00,0.10,0.15,0.85,1.00,2.00
Bottle5,1.00,2.00,1.00,0.80,0.00,0.00,0.20,0.00,0.80,0.20,0.96,2.00
Bottle2,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.20,1.30
Tag4a,1.00,2.00,1.00,0.10,0.00,0.80,0.00,0.10,0.10,0.90,0.28,8.30
Bottle11,2.00,1.00,2.00,0.70,0.00,0.30,0.00,0.00,0.70,0.30,5.60,3.00
Bottle9,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,6.02,3.00
Bottle15,2.00,1.00,2.00,0.90,0.00,0.10,0.00,0.00,0.90,0.10,5.40,2.50
Bottle13,2.00,1.00,3.00,0.90,0.00,0.10,0.00,0.00,0.90,0.10,4.60,4.50
Bottle1,2.00,1.00,2.00,0.80,0.00,0.00,0.10,0.10,0.80,0.20,5.60,2.60
FA,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,5.40,5.60
62-69,2.00,1.00,1.00,0.70,0.00,0.30,0.00,0.00,0.70,0.30,3.75,4.50
Bottle14,2.00,1.00,1.00,0.70,0.00,0.00,0.30,0.00,0.70,0.30,2.60,2.90
Bottle16,2.00,1.00,1.00,0.80,0.00,0.20,0.00,0.00,0.80,0.20,4.80,4.50
69,2.00,1.00,1.00,0.60,0.00,0.30,0.00,0.10,0.60,0.40,6.60,4.80
p81,3.00,2.00,1.00,0.80,0.00,0.00,0.20,0.00,0.80,0.20,6.40,4.50
p113,3.00,2.00,1.00,0.30,0.20,0.00,0.00,0.50,0.50,0.50,5.50,10.00
p102,3.00,2.00,1.00,0.10,0.70,0.20,0.00,0.00,0.80,0.20,4.94,14.00
